Curr,Info
Algerian dinar (DZD),The dinar is the monetary currency of Algeria and it is subdivided into 100 centimes.
Australian dollar (AUD),"The Australian dollar is the currency of Australia, including its external territories: Christmas Island, Cocos Islands, and Norfolk Island."
Bahrain dinar (BHD),"The Bahraini dinar (BHD) is the official currency of Bahrain, an island nation in the Persian Gulf next to Saudi Arabia."
Bolivar Fuerte (VEF),"The bolívar is the official currency of Venezuela. Named after the hero of Latin American independence Simón Bolívar, it was introduced following the monetary reform in 1879"
Botswana pula (BWP),The pula is the currency of Botswana. It has the ISO 4217 code BWP and is subdivided into 100 thebe.
Brazilian real (BRL),The Brazilian real is the official currency of Brazil. It is subdivided into 100 centavos.
Brunei dollar (BND),The Brunei dollar has been the currency of the Sultanate of Brunei since 1967.
Canadian dollar (CAD),"The Canadian dollar is the currency of Canada. It is abbreviated with the dollar sign $,"
Chilean peso (CLP),The peso is the currency of Chile.
Chinese yuan (CNY),The renminbi is the official currency of the People's Republic of China and one of the world's most traded currencies
Colombian peso (COP),The Colombian peso is the currency of Colombia.
Czech koruna (CZK),"The crown, or koruna, has been the currency of the Czech Republic since 1993."
Danish krone (DKK),"The krone is the official currency of Denmark, Greenland, and the Faroe Islands, introduced on 1 January 1875."
Euro (EUR),The euro is the official currency of 19 out of the 27 member states of the European Union (EU).
Hungarian forint (HUF),The forint is the currency of Hungary.
Icelandic krona (ISK),The króna or krona is the currency of Iceland.
Indian rupee (INR),"The Indian rupee is the official currency of India. The rupee is subdivided into 100 paise, though as of 2019, coins of denomination of 1 rupee are the lowest value in use."
Indonesian rupiah (IDR),The rupiah is the official currency of Indonesia. It is issued and controlled by Bank Indonesia.
Iranian rial (IRR),The rial is the official currency of Iran.
Israeli New Shekel (ILS),"The new Israeli shekel, also known as simply the Israeli shekel, is the currency of Israel and is also used as a legal tender in the Palestinian territories of the West Bank and the Gaza Strip."
Japanese yen (JPY),"The yen is the official currency of Japan. It is the third-most traded currency in the foreign exchange market, after the United States dollar and the euro."
Korean won (KRW),"The Korean Republic won, unofficially the South Korean won is the official currency of South Korea."
Kazakhstani tenge (KZT),The tenge is the currency of Kazakhstan. It is divided into 100 tiyn.
Kuwaiti dinar (KWD),"The Kuwaiti dinar is the currency of Kuwait. It is sub-divided into 1,000 fils."
Libyan dinar (LYD),The Libyan Dinar is the currency of Libya.
Malaysian ringgit (MYR),The Malaysian ringgit is the currency of Malaysia. It is divided into 100 sen.
Mauritian rupee (MUR),The MUR (Mauritius Rupee) is the national currency of the Republic of Mauritius.
Mexican peso (MXN),"MXN is the currency abbreviation for the Mexican peso, which is the official currency of Mexico."
Nepalese rupee (NPR),The Nepalese rupee is the official currency of the Federal Democratic Republic of Nepal.
New Zealand dollar (NZD),"The New Zealand dollar is the official currency and legal tender of New Zealand, the Cook Islands, Niue, the Ross Dependency, Tokelau, and a British territory, the Pitcairn Islands."
Norwegian krone (NOK),"The krone, plural kroner, is currency of the Kingdom of Norway."
Omani rial (OMR),The Omani rial is the currency of Oman. It is divided into 1000 baisa.
Peruvian sol (PEN),The sol is the currency of Peru; it is subdivided into 100 céntimos.
Pakistani rupee (PKR),The Pakistani rupee is the official currency of Pakistan since 1948.
Philippine peso (PHP),"The Philippine peso, also referred to by its Filipino name piso, is the official currency of the Philippines."
Polish zloty (PLN),The złoty is the official currency and legal tender of Poland. It is subdivided into 100 grosz.
Qatari riyal (QAR),The Qatari riyal is the currency of the State of Qatar. It is divided into 100 dirhams
Russian ruble (RUB),"The ruble or rouble, is the official currency of the Russian Federation."
Saudi Arabian riyal (SAR),The Saudi riyal; is the currency of Saudi Arabia.
Singapore dollar (SGD),The Singapore dollar is the official currency of the Republic of Singapore. It is divided into 100 cents.
South African rand (ZAR),"The South African rand, or simply the rand, is the official currency of the Southern African Common Monetary Area: South Africa, Namibia, Lesotho and Eswatini. It is subdivided into 100 cents."
Sri Lankan rupee (LKR),The Sri Lankan Rupee is the currency of Sri Lanka.
Swedish krona (SEK),The krona is the official currency of Sweden.
Swiss franc (CHF),The Swiss franc is the currency and legal tender of Switzerland and Liechtenstein.
Thai baht (THB),The baht is the official currency of Thailand. It is divided into 100 satang.
Trinidadian dollar (TTD),The Trinidad and Tobago dollar (currency code TTD) is the currency of Trinidad and Tobago.
Tunisian dinar (TND),The term Tunisian dinar (TND) refers to the national currency of the Republic of Tunisia.
U.A.E. dirham (AED),The dirham is the official currency of the United Arab Emirates. The dirham is subdivided into 100 fils.
U.K. pound (GBP),Sterling (abbreviation: stg; ISO code: GBP) is the currency of the United Kingdom and nine of its associated territories.
U.S. dollar (USD),The United States dollar referred to as the dollar is the official currency of the United States and several other countries.
Uruguayan peso (UYU),Uruguayan peso has been a name of the Uruguayan currency since Uruguay's settlement by Europeans.
